Datetime,Temperature,Relative_Humidity,Pressure,Wind_speed,Wind_direction,Rainfall,Short_wave_irradiation,I,Iclr,hour_index,I_lag30,I_lag45,CI_lag30,R_lag30
2022-04-01 08:45:00,308.13,38.32,1006.13,5.71,28.78,0.0,278.2168,536.3066,594.5512293399688,-3.5,413.5059,357.6841,0.054901960784313725,0.3058823529411765
2022-04-01 09:00:00,308.06,38.34,1005.97,5.8,28.6,0.0,239.348,604.1268,653.5356741566947,-2.5,471.1933,413.5059,0.050980392156862744,0.2901960784313726
2022-04-01 09:15:00,307.7,39.64,1006.15,5.9,30.95,0.0,202.4816,661.4119,709.5056012449079,-2.5,536.3066,471.1933,0.050980392156862744,0.2901960784313726
2022-04-01 09:30:00,307.33,40.95,1006.33,6.02,33.21,0.0,167.916,723.4158,762.1947262347421,-2.5,604.1268,536.3066,0.050980392156862744,0.2901960784313726
2022-04-01 09:45:00,306.97,42.25,1006.51,6.14,35.38,0.0,135.9256,773.8237,811.3583167169421,-2.5,661.4119,604.1268,0.050980392156862744,0.2901960784313726
2022-04-02 07:45:00,301.25,49.14,1011.25,7.28,39.99,0.0,551.536,298.6797,337.99391141485216,-4.5,170.7943,142.1152,0.06666666666666667,0.24313725490196078
2022-04-02 08:00:00,301.0,49.54,1011.14,7.2,39.81,0.0,528.5384,167.9045,405.70512724061774,-3.5,273.6221,170.7943,0.06666666666666667,0.24313725490196078
2022-04-02 08:15:00,300.76,49.95,1011.03,7.12,39.62,0.0,503.164,189.6699,471.791709770826,-3.5,298.6797,273.6221,0.06666666666666667,0.24313725490196078
2022-04-02 08:30:00,300.51,50.36,1010.92,7.04,39.43,0.0,475.5068,230.3108,535.8287823784734,-3.5,167.9045,298.6797,0.19607843137254902,0.33725490196078434
2022-04-02 08:45:00,300.26,50.77,1010.81,6.96,39.24,0.0,445.672,346.7465,597.455656648621,-3.5,189.6699,167.9045,0.19607843137254902,0.33725490196078434
2022-04-02 09:00:00,300.01,51.17,1010.7,6.89,39.04,0.0,413.7752,701.3943,656.3527302264404,-2.5,230.3108,189.6699,0.3333333333333333,0.5176470588235295
2022-04-02 09:15:00,299.67,52.11,1010.87,6.77,39.02,0.0,379.9412,450.0132,712.2302788872458,-2.5,346.7465,230.3108,0.3333333333333333,0.5176470588235295
2022-04-02 09:30:00,299.33,53.05,1011.03,6.65,39.0,0.0,344.3044,665.6918,764.8228313946526,-2.5,701.3943,346.7465,0.3333333333333333,0.5176470588235295
2022-04-02 09:45:00,298.99,53.98,1011.2,6.53,38.98,0.0,307.0076,839.7418,813.8863441268347,-2.5,450.0132,701.3943,0.3333333333333333,0.5176470588235295
2022-04-03 07:45:00,299.1,49.89,1012.12,2.6,40.11,0.0,372.7204,94.78004,341.1324803518154,-4.5,60.28465,44.26239,0.16470588235294117,0.5098039215686274
2022-04-03 08:00:00,299.11,49.87,1011.9,2.54,38.35,0.0,364.3052,124.8127,408.7893282966455,-3.5,70.67351,60.28465,0.16470588235294117,0.5098039215686274
2022-04-03 08:15:00,299.13,49.85,1011.68,2.49,36.53,0.0,353.5616,140.3593,474.80844604465096,-3.5,94.78004,70.67351,0.16470588235294117,0.5098039215686274
2022-04-03 08:30:00,299.14,49.84,1011.46,2.45,34.63,0.0,340.4704,103.9252,538.7686670120838,-3.5,124.8127,94.78004,0.2235294117647059,0.6392156862745098
2022-04-03 08:45:00,299.16,49.82,1011.25,2.4,32.66,0.0,325.0252,84.17171,600.3114671815697,-3.5,140.3593,124.8127,0.2235294117647059,0.6392156862745098
2022-04-03 09:00:00,299.17,49.8,1011.03,2.36,30.62,0.0,307.2332,81.20869,659.1186581259129,-2.5,103.9252,140.3593,0.20784313725490197,0.7254901960784313
2022-04-03 09:15:00,299.0,50.3,1011.14,2.41,33.03,0.0,287.1172,104.8031,714.9015401142547,-2.5,84.17171,103.9252,0.20784313725490197,0.7254901960784313
2022-04-03 09:30:00,298.83,50.8,1011.26,2.47,35.34,0.0,264.7136,130.2266,767.3954536075238,-2.5,81.20869,84.17171,0.20784313725490197,0.7254901960784313
2022-04-03 09:45:00,298.66,51.29,1011.37,2.53,37.55,0.0,240.0732,194.6082,816.3570455825072,-2.5,104.8031,81.20869,0.20784313725490197,0.7254901960784313
2022-04-04 07:45:00,305.16,37.11,1011.51,2.47,21.7,0.0,804.956,330.9437,344.23286710091736,-4.5,221.4583,156.4913,0.24705882352941178,0.8235294117647058
