# Date;UT time;Temperature;Relative Humidity;Pressure;Wind speed;Wind direction;Rainfall;Snowfall;Snow depth;Short-wave irradiation
2023-01-01;00:15;292.51;65.63;1015.82;3.06;6.62;0.000000;0.000000;0.000000;12.2028
2023-01-01;00:30;292.98;64.14;1015.95;3.15;9.96;0.000000;0.000000;0.000000;22.3535
2023-01-01;00:45;293.45;62.65;1016.08;3.25;13.11;0.000000;0.000000;0.000000;33.9852
2023-01-01;01:00;293.92;61.16;1016.21;3.36;16.06;0.000000;0.000000;0.000000;47.0091
2023-01-01;01:15;294.39;59.67;1016.34;3.48;18.82;0.000000;0.000000;0.000000;61.3237
2023-01-01;01:30;294.86;58.18;1016.47;3.60;21.40;0.000000;0.000000;0.000000;76.8153
2023-01-01;01:45;295.33;56.69;1016.60;3.73;23.80;0.000000;0.000000;0.000000;90.9240
2023-01-01;02:00;295.80;55.20;1016.73;3.87;26.04;0.000000;0.000000;0.000000;102.6651
2023-01-01;02:15;296.27;53.71;1016.86;4.01;28.12;0.000000;0.000000;0.000000;114.1147
2023-01-01;02:30;296.74;52.22;1016.99;4.16;30.06;0.000000;0.000000;0.000000;125.2098
2023-01-01;02:45;297.21;50.73;1017.12;4.31;31.86;0.000000;0.000000;0.000000;135.8884
2023-01-01;03:00;297.68;49.24;1017.25;4.46;33.53;0.000000;0.000000;0.000000;146.0892
2023-01-01;03:15;298.01;48.38;1017.00;4.38;33.47;0.000000;0.000000;0.000000;155.7519
2023-01-01;03:30;298.34;47.52;1016.76;4.31;33.40;0.000000;0.000000;0.000000;164.8180
2023-01-01;03:45;298.67;46.66;1016.52;4.23;33.33;0.000000;0.000000;0.000000;173.2307
2023-01-01;04:00;299.00;45.79;1016.28;4.15;33.26;0.000000;0.000000;0.000000;180.9355
2023-01-01;04:15;299.33;44.93;1016.04;4.07;33.18;0.000000;0.000000;0.000000;187.8801
2023-01-01;04:30;299.66;44.07;1015.79;3.99;33.10;0.000000;0.000000;0.000000;194.0152
2023-01-01;04:45;299.99;43.21;1015.55;3.91;33.02;0.000000;0.000000;0.000000;198.3441
2023-01-01;05:00;300.32;42.35;1015.31;3.83;32.94;0.000000;0.000000;0.000000;200.7907
2023-01-01;05:15;300.65;41.49;1015.07;3.75;32.85;0.000000;0.000000;0.000000;202.2777
2023-01-01;05:30;300.98;40.63;1014.83;3.67;32.76;0.000000;0.000000;0.000000;202.7974
2023-01-01;05:45;301.31;39.76;1014.58;3.59;32.66;0.000000;0.000000;0.000000;202.3465
2023-01-01;06:00;301.64;38.90;1014.34;3.52;32.56;0.000000;0.000000;0.000000;200.9253
2023-01-01;06:15;301.69;38.59;1014.13;3.52;31.43;0.000000;0.000000;0.000000;198.5388
2023-01-01;06:30;301.73;38.28;1013.92;3.52;30.30;0.000000;0.000000;0.000000;195.1958
2023-01-01;06:45;301.77;37.97;1013.71;3.53;29.17;0.000000;0.000000;0.000000;190.9092
2023-01-01;07:00;301.81;37.66;1013.50;3.54;28.05;0.000000;0.000000;0.000000;185.6963
2023-01-01;07:15;301.85;37.35;1013.29;3.54;26.93;0.000000;0.000000;0.000000;179.5781
2023-01-01;07:30;301.90;37.04;1013.08;3.55;25.82;0.000000;0.000000;0.000000;172.5797
2023-01-01;07:45;301.94;36.72;1012.87;3.56;24.71;0.000000;0.000000;0.000000;163.5772
2023-01-01;08:00;301.98;36.41;1012.66;3.58;23.62;0.000000;0.000000;0.000000;152.7874
2023-01-01;08:15;302.02;36.10;1012.45;3.59;22.53;0.000000;0.000000;0.000000;141.4869
2023-01-01;08:30;302.07;35.79;1012.24;3.61;21.45;0.000000;0.000000;0.000000;129.7456
2023-01-01;08:45;302.11;35.48;1012.02;3.62;20.37;0.000000;0.000000;0.000000;117.6339
2023-01-01;09:00;302.15;35.17;1011.81;3.64;19.31;0.000000;0.000000;0.000000;105.2229
2023-01-01;09:15;301.76;36.35;1011.97;3.75;18.97;0.000000;0.000000;0.000000;92.5834
2023-01-01;09:30;301.36;37.52;1012.13;3.87;18.65;0.000000;0.000000;0.000000;79.7860
2023-01-01;09:45;300.97;38.70;1012.29;3.98;18.35;0.000000;0.000000;0.000000;66.9004
2023-01-01;10:00;300.57;39.88;1012.45;4.10;18.06;0.000000;0.000000;0.000000;53.9952
2023-01-01;10:15;300.18;41.05;1012.61;4.21;17.79;0.000000;0.000000;0.000000;41.1379
2023-01-01;10:30;299.78;42.23;1012.77;4.33;17.54;0.000000;0.000000;0.000000;28.3937
2023-01-01;10:45;299.38;43.41;1012.93;4.44;17.29;0.000000;0.000000;0.000000;15.2881
2023-01-01;11:00;298.99;44.58;1013.10;4.56;17.06;0.000000;0.000000;0.000000;3.3786
2023-01-01;11:15;298.59;45.76;1013.25;4.67;16.85;0.000000;0.000000;0.000000;0.0000
2023-01-01;11:30;298.20;46.94;1013.42;4.79;16.64;0.000000;0.000000;0.000000;0.0000
2023-01-01;11:45;297.80;48.11;1013.58;4.90;16.44;0.000000;0.000000;0.000000;0.0000
2023-01-01;12:00;297.41;49.29;1013.74;5.02;16.25;0.000000;0.000000;0.000000;0.0000
2023-01-01;12:15;297.31;49.50;1013.87;4.95;17.32;0.000000;0.000000;0.000000;0.0000
2023-01-01;12:30;297.20;49.71;1013.99;4.89;18.41;0.000000;0.000000;0.000000;0.0000
2023-01-01;12:45;297.10;49.92;1014.12;4.83;19.54;0.000000;0.000000;0.000000;0.0000
2023-01-01;13:00;296.99;50.13;1014.25;4.77;20.69;0.000000;0.000000;0.000000;0.0000
2023-01-01;13:15;296.89;50.33;1014.38;4.72;21.87;0.000000;0.000000;0.000000;0.0000
2023-01-01;13:30;296.79;50.54;1014.51;4.66;23.07;0.000000;0.000000;0.000000;0.0000
2023-01-01;13:45;296.68;50.75;1014.64;4.61;24.31;0.000000;0.000000;0.000000;0.0000
2023-01-01;14:00;296.58;50.96;1014.76;4.56;25.57;0.000000;0.000000;0.000000;0.0000
2023-01-01;14:15;296.48;51.17;1014.89;4.51;26.87;0.000000;0.000000;0.000000;0.0000
2023-01-01;14:30;296.37;51.38;1015.02;4.46;28.19;0.000000;0.000000;0.000000;0.0000
2023-01-01;14:45;296.27;51.59;1015.15;4.42;29.53;0.000000;0.000000;0.000000;0.0000
2023-01-01;15:00;296.17;51.80;1015.28;4.38;30.90;0.000000;0.000000;0.000000;0.0000
